date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix
2021-06-15,AAPL,129.945,130.6,129.39,129.64,68883859.0,1.0,0.17219664628312614,129.6858687716573,122.82813122834266,52.212411731523154,154.4119323575769,17.83532276608853,126.50866666666666,127.78541666666666,25.995
2021-06-15,AMGN,241.74,241.98,239.05,239.85,2824098.0,1.0,-1.9288552747991332,253.0869130352304,229.6420869647696,47.215896425107495,-51.89738805391316,3.689600552101134,244.703,247.34283333333335,25.995
2021-06-15,AMZN,3384.0,3396.9866,3363.1101,3383.13,2604886.0,1.0,22.743656764480875,3379.5399747257998,3139.4440252741997,56.37978075672118,190.97299801218114,22.421236927335116,3253.0443333333333,3267.2051666666666,25.995
2021-06-15,AXP,163.93,166.9,163.8,166.27,4084572.0,1.0,3.008645200069708,169.36255727780943,153.43344272219056,63.73620715947737,111.08292015403215,24.943291565599704,159.608,153.04266666666666,25.995
2021-06-15,BA,245.36,248.51,244.94,246.54,10948457.0,1.0,3.09063256019067,262.7940591821723,225.51394081782766,53.46169958155367,50.01883896858409,15.27988782707663,239.06166666666667,242.44033333333334,25.995
2021-06-15,CAT,219.89,220.78,216.26,219.46,5438771.0,1.0,-3.229304766261521,252.108246470389,219.73275352961107,42.42222138943559,-257.6392889102545,44.415388154748996,237.13600000000002,233.40666666666667,25.995
2021-06-15,CRM,245.21,245.355,242.01,242.58,5618046.0,1.0,5.142986538381194,248.90909330747465,216.03790669252535,57.899058517576705,118.57868101687852,38.81957957490671,226.70566666666667,225.45366666666666,25.995
2021-06-15,CSCO,54.23,54.32,53.73,53.79,14876654.0,1.0,0.5760074979451844,54.94953128194535,51.94246871805466,57.21081192800699,83.40038603466841,0.30372960354893447,53.085,52.34091666666667,25.995
2021-06-15,CVX,108.41,110.48,108.39,110.3,11887599.0,1.0,0.9162456516304047,110.84224745159977,101.86475254840025,57.0216016052582,98.68264598503951,16.422717099660655,107.05933333333334,105.40966666666667,25.995
2021-06-15,DIS,178.18,178.7,175.6233,175.86,8614550.0,1.0,-0.8099632080872823,181.42656774603233,169.96943225396768,45.77815569584797,-8.440148769131,9.053968890652717,177.07633333333337,181.62,25.995
2021-06-15,GS,373.5,374.84,367.16,371.3,2516289.0,1.0,5.517576376301463,394.3398624842142,354.7071375157857,56.50353075500805,6.893911503018807,0.4102031425933697,370.4873333333333,352.83,25.995
2021-06-15,HD,308.75,308.95,303.485,306.45,5842884.0,1.0,-3.134679771868832,320.9326653575555,305.51733464244455,47.17305638202361,-114.94046811916617,31.992342353368425,318.79966666666667,316.7615,25.995
2021-06-15,HON,223.02,223.86,221.67,222.5,2382694.0,1.0,0.011626609927759546,233.82313256356844,219.2078674364315,49.4505749364345,-90.5212315521316,21.060863441557053,226.5676666666667,224.43283333333332,25.995
2021-06-15,IBM,149.85,149.91,148.6,149.36,2993160.0,1.0,2.2051682787773643,152.08248607531692,140.61951392468308,61.41439295013738,110.0535404924471,35.55237297796911,145.91733333333335,141.20266666666666,25.995
